root_ancestor,domain,measure_1,measure_2,tree_1,tree_2
796,Transports,Maritime transport infrastructure: ports,Maritime equipment - carrying capacity of ships of 1 000 grt and over,796,798
796,Transports,Maritime transport infrastructure: ports,Maritime equipment - carrying capacity of ships of 300 grt and over,796,798
796,Transports,Maritime transport infrastructure: ports,Maritime accident victims by sea basin of occurrence and country of registration of vessels,796,797
796,Transports,Maritime transport infrastructure: ports,"Maritime accident victims by sea basin of occurrence, country of registration of vessels and type of vessels",796,797
796,Transports,Maritime equipment - number of ships of 1 000 grt and over,Maritime traffic: ship movements,798,796
796,Transports,Maritime equipment - number of ships of 1 000 grt and over,Maritime traffic: passengers and freight,798,796
796,Transports,Maritime equipment - number of ships of 1 000 grt and over,Maritime transport of passengers by NUTS 2 regions,798,796
796,Transports,Maritime equipment - number of ships of 1 000 grt and over,Maritime transport of freight by NUTS 2 regions,798,796
796,Transports,Maritime equipment - number of ships of 1 000 grt and over,Maritime accident victims by sea basin of occurrence and country of registration of vessels,798,797
796,Transports,Maritime equipment - number of ships of 1 000 grt and over,"Maritime accident victims by sea basin of occurrence, country of registration of vessels and type of vessels",798,797
796,Transports,Maritime equipment - number of ships of 300 grt and over,Maritime traffic: ship movements,798,796
796,Transports,Maritime equipment - number of ships of 300 grt and over,Maritime traffic: passengers and freight,798,796
796,Transports,Maritime equipment - number of ships of 300 grt and over,Maritime transport of passengers by NUTS 2 regions,798,796
796,Transports,Maritime equipment - number of ships of 300 grt and over,Maritime transport of freight by NUTS 2 regions,798,796
796,Transports,Maritime equipment - number of ships of 300 grt and over,Maritime accident victims by sea basin of occurrence and country of registration of vessels,798,797
796,Transports,Maritime equipment - number of ships of 300 grt and over,"Maritime accident victims by sea basin of occurrence, country of registration of vessels and type of vessels",798,797
796,Transports,Maritime equipment - carrying capacity of ships of 1 000 grt and over,Maritime traffic: ship movements,798,796
796,Transports,Maritime equipment - carrying capacity of ships of 1 000 grt and over,Maritime traffic: passengers and freight,798,796
796,Transports,Maritime equipment - carrying capacity of ships of 1 000 grt and over,Maritime transport of passengers by NUTS 2 regions,798,796
796,Transports,Maritime equipment - carrying capacity of ships of 1 000 grt and over,Maritime transport of freight by NUTS 2 regions,798,796
796,Transports,Maritime equipment - carrying capacity of ships of 1 000 grt and over,Maritime accident victims by sea basin of occurrence and country of registration of vessels,798,797
796,Transports,Maritime equipment - carrying capacity of ships of 1 000 grt and over,"Maritime accident victims by sea basin of occurrence, country of registration of vessels and type of vessels",798,797
796,Transports,Maritime equipment - carrying capacity of ships of 300 grt and over,Maritime traffic: ship movements,798,796
796,Transports,Maritime equipment - carrying capacity of ships of 300 grt and over,Maritime traffic: passengers and freight,798,796
796,Transports,Maritime equipment - carrying capacity of ships of 300 grt and over,Maritime transport of passengers by NUTS 2 regions,798,796
796,Transports,Maritime equipment - carrying capacity of ships of 300 grt and over,Maritime transport of freight by NUTS 2 regions,798,796
796,Transports,Maritime equipment - carrying capacity of ships of 300 grt and over,Maritime accident victims by sea basin of occurrence and country of registration of vessels,798,797
796,Transports,Maritime equipment - carrying capacity of ships of 300 grt and over,"Maritime accident victims by sea basin of occurrence, country of registration of vessels and type of vessels",798,797
796,Transports,Maritime traffic: ship movements,Maritime accident victims by sea basin of occurrence and country of registration of vessels,796,797
796,Transports,Maritime traffic: ship movements,"Maritime accident victims by sea basin of occurrence, country of registration of vessels and type of vessels",796,797
796,Transports,Maritime traffic: passengers and freight,Maritime accident victims by sea basin of occurrence and country of registration of vessels,796,797
796,Transports,Maritime traffic: passengers and freight,"Maritime accident victims by sea basin of occurrence, country of registration of vessels and type of vessels",796,797
796,Transports,Maritime transport of passengers by NUTS 2 regions,Maritime accident victims by sea basin of occurrence and country of registration of vessels,796,797
796,Transports,Maritime transport of passengers by NUTS 2 regions,"Maritime accident victims by sea basin of occurrence, country of registration of vessels and type of vessels",796,797
796,Transports,Maritime transport of freight by NUTS 2 regions,Maritime accident victims by sea basin of occurrence and country of registration of vessels,796,797
796,Transports,Maritime transport of freight by NUTS 2 regions,"Maritime accident victims by sea basin of occurrence, country of registration of vessels and type of vessels",796,797
805,Environment & Natural Resources and Production,Material import dependency,Material footprint,810,808
811,"People, Work & Living Conditions","Mean annual earnings by NUTS 1 regions (enterprises with 10 employees or more) - NACE Rev. 1.1, C-O excluding L",Mean age at first marriage by sex,811,812
811,"People, Work & Living Conditions","Mean annual earnings by NUTS 1 regions (enterprises with 10 employees or more) - NACE Rev. 1.1, C-O excluding L",Mean number of deprivation items among the children deprived (children aged less than 16 years),811,815
811,"People, Work & Living Conditions","Mean annual earnings by NUTS 1 regions (enterprises with 10 employees or more) - NACE Rev. 1.1, C-O excluding L",Mean duration of commuting time one-way between work and home by sex and age,811,813
811,"People, Work & Living Conditions","Mean annual earnings by NUTS 1 regions (enterprises with 10 employees or more) - NACE Rev. 1.1, C-O excluding L",Mean age of women at childbirth and at birth of first child,811,812
811,"People, Work & Living Conditions","Mean hourly earnings by NUTS 1 regions (enterprises with 10 employees or more) - NACE Rev. 1.1, C-O excluding L",Mean age at first marriage by sex,811,812
811,"People, Work & Living Conditions","Mean hourly earnings by NUTS 1 regions (enterprises with 10 employees or more) - NACE Rev. 1.1, C-O excluding L",Mean number of deprivation items among the children deprived (children aged less than 16 years),811,815
811,"People, Work & Living Conditions","Mean hourly earnings by NUTS 1 regions (enterprises with 10 employees or more) - NACE Rev. 1.1, C-O excluding L",Mean duration of commuting time one-way between work and home by sex and age,811,813
811,"People, Work & Living Conditions","Mean hourly earnings by NUTS 1 regions (enterprises with 10 employees or more) - NACE Rev. 1.1, C-O excluding L",Mean age of women at childbirth and at birth of first child,811,812
811,"People, Work & Living Conditions","Mean annual earnings by NUTS 1 regions (enterprises with 10 employees or more) - NACE Rev. 2, B-S excluding O",Mean age at first marriage by sex,811,812
811,"People, Work & Living Conditions","Mean annual earnings by NUTS 1 regions (enterprises with 10 employees or more) - NACE Rev. 2, B-S excluding O",Mean number of deprivation items among the children deprived (children aged less than 16 years),811,815
811,"People, Work & Living Conditions","Mean annual earnings by NUTS 1 regions (enterprises with 10 employees or more) - NACE Rev. 2, B-S excluding O",Mean duration of commuting time one-way between work and home by sex and age,811,813
811,"People, Work & Living Conditions","Mean annual earnings by NUTS 1 regions (enterprises with 10 employees or more) - NACE Rev. 2, B-S excluding O",Mean age of women at childbirth and at birth of first child,811,812
811,"People, Work & Living Conditions","Mean hourly earnings by NUTS 1 regions (enterprises with 10 employees or more) - NACE Rev. 2, B-S excluding O",Mean age at first marriage by sex,811,812
811,"People, Work & Living Conditions","Mean hourly earnings by NUTS 1 regions (enterprises with 10 employees or more) - NACE Rev. 2, B-S excluding O",Mean number of deprivation items among the children deprived (children aged less than 16 years),811,815
811,"People, Work & Living Conditions","Mean hourly earnings by NUTS 1 regions (enterprises with 10 employees or more) - NACE Rev. 2, B-S excluding O",Mean duration of commuting time one-way between work and home by sex and age,811,813
